Rank,Nome,Nota
554,Love Letter: Premium Edition,7.44
555,One Night Ultimate Werewolf,7.07
556,Nova Luna,7.31
557,Vikings,7.25
558,Camel Up,7.04
559,Sentinels of the Multiverse,7.16
560,Roads & Boats,7.71
561,BattleCON: Devastation of Indines,7.84
562,Runebound (Third Edition),7.47
563,Valeria: Card Kingdoms,7.45
564,Last Will,7.17
565,The Guild of Merchant Explorers,7.75
566,Karuba,7.18
567,Egizia,7.39
568,MicroMacro: Crime City – Full House,7.71
569,Queendomino,7.18
570,Taj Mahal,7.27
571,Space Empires 4X,7.69
572,In the Hall of the Mountain King,7.64
573,Tales of the Arabian Nights,7.17
574,Vinhos,7.47
575,Jamaica,7.06
576,Aquatica,7.38
577,StarCraft: The Board Game,7.35
578,Baseball Highlights: 2045,7.52
579,Akropolis,7.54
580,Imperium: Legends,7.86
581,Woodcraft,7.75
582,Las Vegas,7.16
583,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.18
584,Colosseum,7.21
585,Caper: Europe,7.78
586,Libertalia: Winds of Galecrest,7.50
587,Atlantis Rising (Second Edition),7.58
588,Pax Porfiriana,7.66
589,Through the Desert,7.09
590,The LOOP,7.78
591,Nexus Ops,7.21
592,DVONN,7.46
593,The Colonists,7.56
594,Etherfields,7.99
595,Broom Service,7.17
596,Carcassonne: Hunters and Gatherers,7.13
597,AquaSphere,7.26
598,Paperback,7.13
599,QE,7.40
600,Draftosaurus,7.12
601,Zombicide: 2nd Edition,8.02
602,Dice Throne: Season One,7.53
603,Tobago,7.10
604,Triumph & Tragedy: European Balance of Power 1936-1945,8.15
605,Automobile,7.33
606,Evolution,7.07
607,Distilled,8.00
608,Star Trek: Ascendancy,7.82
609,Unfathomable,7.57
610,Silver & Gold,7.22
611,Frostpunk: The Board Game,8.33
612,Struggle of Empires,7.52
613,Cooper Island,7.60
614,Carson City,7.22
615,Coup,6.99
616,Crusaders: Thy Will Be Done,7.49
617,Hammer of the Scots,7.53
618,Star Wars: Destiny,7.46
619,The Battle of Five Armies,7.88
620,Francis Drake,7.38
621,Unlock!: Heroic Adventures,7.64
622,Unmatched: Little Red Riding Hood vs. Beowulf,8.19
623,Aeon Trespass: Odyssey,9.16
624,Conan,7.65
625,Pax Renaissance: 2nd Edition,8.56
626,A Game of Thrones,7.18
627,Cuba Libre,7.69
628,Gears of War: The Board Game,7.47
629,Photosynthesis,7.00
630,Blood Bowl (2016 Edition),7.98
631,Zombicide,7.11
632,Thebes,7.13
633,Quantum,7.24
634,Splendor: Marvel,7.60
635,Take 5,6.96
636,Whitehall Mystery,7.56
637,Zombicide: Green Horde,7.71
638,Coloretto,6.98
639,A Game of Thrones: The Card Game (Second Edition),7.51
640,Dinosaur Island: Rawr 'n Write,7.76
641,Shards of Infinity,7.49
642,Mare Nostrum: Empires,7.53
643,HeroQuest,7.19
644,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.74
645,Betrayal at House on the Hill,7.03
646,Medici,7.16
647,Formula D,7.00
648,Time's Up!,7.29
649,Taluva,7.15
650,Bus,7.60
651,Snowdonia,7.34
652,Pax Renaissance,8.01
653,One Night Ultimate Werewolf: Daybreak,7.32
654,Magic Maze,6.97
655,Regicide,7.47
656,The Downfall of Pompeii,7.15
657,Trains,7.13
658,The Republic of Rome,7.53
659,Cacao,7.08
660,Fort,7.15
661,KeyForge: Call of the Archons,7.13
662,The Lord of the Rings: The Card Game – Revised Core Set,8.52
663,Shakespeare,7.42
664,Lord of the Rings: The Confrontation,7.21
665,Kingdom Builder,6.95
666,Galaxy Trucker (Second Edition),7.52
667,Between Two Castles of Mad King Ludwig,7.25
668,Disney Villainous: Wicked to the Core,7.56
669,Mr. Jack,6.98
670,Summoner Wars,7.23
671,Belfort,7.22
672,Creature Comforts,7.52
673,Elder Sign,6.97
674,A Fake Artist Goes to New York,7.15
675,Telestrations: 12 Player Party Pack,7.74
676,Project: ELITE,8.02
677,Cuba,7.13
678,Chronicles of Crime: 1400,7.77
679,Earth Reborn,7.62
680,Torres,7.09
681,Escape: The Curse of the Temple,6.97
682,Warp's Edge,7.75
683,Disney Villainous: Evil Comes Prepared,7.57
684,Civilization: A New Dawn,7.26
685,Detective: City of Angels,7.91
686,Luna,7.30
687,Dixit: Journey,7.39
688,Cribbage,7.09
689,Yellow & Yangtze,7.84
690,Shadows of Brimstone: Swamps of Death,8.04
691,Exit: The Game – The Pharaoh's Tomb,7.17
692,Mexica,7.25
693,Merv: The Heart of the Silk Road,7.54
694,The Oracle of Delphi,7.29
695,Feudum,7.62
696,Trails of Tucana,7.41
697,Churchill,7.67
698,Azul: Queen's Garden,7.52
699,Treasure Island,7.24
700,Yamataï,7.19
701,The Magnificent,7.55
702,AuZtralia,7.37
703,Myrmes,7.26
704,Smash Up: Awesome Level 9000,7.22
705,Golem,7.62
706,Ascension: Deckbuilding Game,7.03
707,Prêt-à-Porter,7.34
708,My Father's Work,7.94
709,Tokaido,6.94
710,Defenders of the Realm,7.28
711,D-Day at Omaha Beach,8.29
712,Arkwright,7.81
713,Fury of Dracula (Second Edition),7.10
714,Leaving Earth,7.75
715,Tash-Kalar: Arena of Legends,7.16
716,Love Letter: Batman,7.27
717,ZhanGuo,7.56
718,Century: A New World,7.34
719,Whistle Mountain,7.63
720,Weather Machine,7.88
721,Wir sind das Volk!,7.80
722,Trismegistus: The Ultimate Formula,7.60
723,Carcassonne: The Castle,7.10
724,Specter Ops,7.18
725,Bloodborne: The Board Game,7.83
726,Onirim (Second Edition),7.05
727,Oh My Goods!,7.00
728,Sub Terra,7.39
729,Space Hulk: Death Angel – The Card Game,7.00
730,Dragon Castle,7.13
731,Steampunk Rally,7.17
732,City of the Big Shoulders,7.78
733,The Estates,7.43
734,Ashes Reborn: Rise of the Phoenixborn,7.29
735,The Witcher: Old World,8.19
736,My Little Scythe,7.26
737,The Networks,7.16
738,BANG! The Dice Game,6.91
739,Lacrimosa,7.79
740,Thunderstone Advance: Towers of Ruin,7.33
741,Warhammer Quest: The Adventure Card Game,7.32
742,Villagers,7.17
743,Vegas Showdown,7.16
744,Century: Eastern Wonders,7.14
745,K2,7.02
746,Advanced Squad Leader: Starter Kit #1,7.84
747,Wits & Wagers,6.93
748,Diplomacy,7.04
749,Yspahan,7.07
750,Unlock!: Timeless Adventures,7.80
751,Between Two Cities,6.99
752,The Bloody Inn,7.06
753,Wallenstein,7.46
754,New York Zoo,7.13
755,Coal Baron,7.29
756,Living Forest,7.30
757,Ticket to Ride: Rails & Sails,7.43
758,Crystal Palace,7.54
759,CO₂: Second Chance,7.56
760,Unmatched: Jurassic Park – InGen vs Raptors,8.14
761,The Adventures of Robin Hood,7.56
762,Shipyard,7.36
763,Middle-Earth Quest,7.39
764,Disney Villainous,6.98
765,The Shipwreck Arcana,7.47
766,Eminent Domain,6.99
767,New Frontiers,7.43
768,Can't Stop,6.89
769,Railroad Ink Challenge: Lush Green Edition,7.68
770,Blue Moon City,7.04
771,Empire of the Sun,8.26
772,Reef,7.02
773,Caverna: Cave vs Cave,7.12
774,Empires: Age of Discovery,7.84
775,Warhammer: Invasion,7.24
776,Rhino Hero: Super Battle,7.25
777,Brian Boru: High King of Ireland,7.55
778,Menara,7.45
779,Kanagawa,7.04
780,Ex Libris,7.15
781,Bullet♥︎,7.67
782,Saint Petersburg (Second Edition),7.47
783,Dogs of War,7.52
784,World Without End,7.24
785,Cry Havoc,7.14
786,Deep Sea Adventure,6.92
787,Arkham Horror: The Card Game (Revised Edition),8.75
788,Space Hulk,7.48
789,Massive Darkness 2: Hellscape,8.10
790,Blokus,6.86
791,Mosaic: A Story of Civilization,7.65
792,Super Motherload,7.35
793,Crown of Emara,7.41
794,Up Front,7.89
795,Twilight Inscription,7.58
796,Finca,7.07
797,Arcadia Quest: Inferno,7.91
798,878 Vikings: Invasions of England,7.51
799,Black Angel,7.27
800,Railroad Ink: Blazing Red Edition,7.10
801,The Duke,7.33
802,Vast: The Crystal Caverns,7.13
803,Paris: La Cité de la Lumière,7.33
804,Exit: The Game – The Secret Lab,7.07
805,Messina 1347,7.64
806,The Pursuit of Happiness,7.18
807,Perudo,6.91
808,Zombicide Season 2: Prison Outbreak,7.36
809,Ricochet Robots,7.02
810,"Heroes of Land, Air & Sea",7.61
811,Panamax,7.31
812,Dice Hospital,7.14
813,7 Wonders: Architects,7.04
814,1989: Dawn of Freedom,7.79
815,FUSE,7.01
816,Unfair,7.33
817,King of New York,6.90
818,Three Sisters,7.62
819,Dominant Species: Marine,8.00
820,Dungeons & Dragons: The Legend of Drizzt Board Game,7.22
821,Squad Leader,7.55
822,Tang Garden,7.40
823,Gentes,7.41
824,Among the Stars,7.04
825,Ready Set Bet,7.66
826,Cerebria: The Inside World,7.77
827,Jambo,7.00
828,Red7,6.88
829,"Unmatched: Battle of Legends, Volume Two",8.35
830,Maquis,7.45
831,Outlive,7.30
832,Babylonia,7.68
833,Incan Gold,6.83
834,Fugitive,7.17
835,Raccoon Tycoon,7.31
836,Lords of Xidit,7.09
837,Not Alone,6.97
838,Disney Villainous: Perfectly Wretched,7.67
839,Tumblin' Dice,7.22
840,Tammany Hall,7.28
841,Dale of Merchants,7.18
842,Wizard,6.96
843,Star Trek: Fleet Captains,7.48
844,Tribune: Primus Inter Pares,7.21
845,Hannibal & Hamilcar,8.32
846,Trekking Through History,7.77
847,Yedo,7.36
848,Celestia,6.95
849,SpaceCorp: 2025-2300AD,7.69
850,One Deck Dungeon,6.97
851,Blue Lagoon,7.20
852,Pandemic: Rising Tide,7.57
853,Letter Jam,7.21
854,Vasco da Gama,7.22
855,Reef Encounter,7.14
856,XCOM: The Board Game,7.00
857,Merchants Cove,7.52
858,Feed the Kraken,7.93
859,"13 Days: The Cuban Missile Crisis, 1962",7.23
860,Detective Club,7.37
861,ZÈRTZ,7.27
862,Washington's War,7.61
863,Santiago,7.13
864,Khôra: Rise of an Empire,7.46
865,Morels,6.99
866,Scoville,7.13
867,Star Wars: The Card Game,7.18
868,Circadians: First Light,7.59
869,A War of Whispers,7.35
870,Rurik: Dawn of Kiev,7.78
871,Friedrich,7.56
872,Witchstone,7.59
873,Combat Commander: Pacific,8.11
874,Verdant,7.42
875,Skymines,8.13
876,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.51
877,Last Bastion,7.51
878,The Lost Expedition,7.06
879,Spyrium,7.05
880,First Rat,7.65
881,Summoner Wars: Alliances Master Set,8.05
882,Clinic: Deluxe Edition,7.65
883,Hyperborea,7.18
884,Battle for Rokugan,7.42
885,Napoleon's Triumph,7.99
886,Parade,7.00
887,Rhino Hero,6.92
888,Forbidden Island,6.77
889,Carcassonne: The City,7.21
890,High Frontier 4 All,8.44
891,Spyfall,6.79
892,Tajemnicze Domostwo,7.12
893,Container,7.16
894,Star Wars: The Clone Wars,7.67
895,The Mind,6.78
896,Ca$h 'n Guns: Second Edition,6.84
897,Thunderstone,6.91
898,Roll Through the Ages: The Bronze Age,6.86
899,Marvel Dice Masters: Avengers vs. X-Men,7.10
900,Union Pacific,7.19
